PetID,PetType,Breed,AgeMonths,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,AdoptionLikelihood
500,Bird,Parakeet,131,Orange,Large,5.039767823,1,0,27,140,0,0
501,Rabbit,Rabbit,73,White,Large,16.08672685,0,0,8,235,0,0
502,Dog,Golden Retriever,136,Orange,Medium,2.076286279,0,0,85,385,0,0
503,Bird,Parakeet,97,White,Small,3.339423254,0,0,61,217,1,0
504,Rabbit,Rabbit,123,Gray,Large,20.49809976,0,0,28,14,1,0
505,Dog,Labrador,70,Brown,Large,20.9862609,0,0,87,301,1,0
506,Bird,Parakeet,169,Brown,Small,10.90261279,1,0,70,440,1,0
507,Cat,Siamese,13,Orange,Large,7.252683192,1,0,3,137,0,1
508,Bird,Parakeet,49,Brown,Medium,24.59759785,1,1,69,405,0,0
509,Bird,Parakeet,60,Gray,Large,7.295993655,0,0,73,231,1,0
510,Bird,Parakeet,130,Orange,Large,16.71878502,0,0,7,88,0,0
511,Rabbit,Rabbit,5,White,Small,29.07805639,1,0,60,462,0,1
512,Dog,Golden Retriever,172,Brown,Large,5.287720698,1,0,4,76,1,0
513,Cat,Siamese,27,Black,Large,28.28541176,1,0,5,135,0,0
514,Cat,Persian,160,Brown,Medium,6.303898539,1,0,11,404,0,1
515,Rabbit,Rabbit,149,White,Small,17.45585303,1,0,15,468,1,0
516,Cat,Persian,8,Orange,Small,11.93322365,1,1,64,405,1,0
517,Cat,Persian,50,White,Medium,28.98292944,1,0,13,109,0,1
518,Rabbit,Rabbit,67,Black,Large,8.932718841,1,1,7,352,1,0
519,Dog,Labrador,44,Gray,Small,12.59008206,0,1,6,300,0,0
520,Rabbit,Rabbit,125,Brown,Small,29.50294342,1,0,56,90,0,0
521,Cat,Persian,58,Orange,Large,16.55764134,0,0,64,423,1,0
522,Dog,Labrador,3,Gray,Large,15.57627335,1,0,50,369,1,1
523,Dog,Golden Retriever,86,White,Small,8.475576158,1,0,30,405,0,0
524,Bird,Parakeet,70,Orange,Large,21.33954325,1,0,22,413,0,0
525,Bird,Parakeet,130,Gray,Small,1.416815602,1,0,25,189,0,0
526,Cat,Persian,172,Orange,Large,2.435866261,1,0,28,72,0,0
527,Rabbit,Rabbit,2,Black,Large,18.38139903,1,1,84,172,0,0
528,Rabbit,Rabbit,102,Black,Medium,10.90856264,0,0,39,34,0,0
529,Rabbit,Rabbit,35,Brown,Large,28.64617479,0,1,67,209,0,0
530,Bird,Parakeet,98,Brown,Medium,27.19253003,1,0,5,297,0,1
531,Cat,Persian,30,Black,Large,21.6974815,1,1,65,132,0,0
532,Bird,Parakeet,116,Orange,Small,24.72622185,1,0,15,282,1,0
533,Cat,Siamese,8,Black,Small,20.35262364,1,0,67,197,0,1
534,Rabbit,Rabbit,150,Brown,Large,4.641880979,1,0,40,445,0,0
535,Bird,Parakeet,44,Black,Large,23.20075772,0,0,69,31,1,0
536,Rabbit,Rabbit,36,Black,Small,7.095567093,1,0,77,135,1,0
537,Rabbit,Rabbit,77,Orange,Large,10.3798428,0,0,43,247,0,0
538,Dog,Golden Retriever,31,Gray,Medium,24.75779215,1,0,1,358,0,1
539,Dog,Golden Retriever,47,Brown,Medium,16.55924264,0,0,22,340,1,0
540,Bird,Parakeet,55,Orange,Medium,25.93828071,1,0,62,145,0,1
541,Dog,Labrador,106,Black,Medium,7.178024275,0,0,79,333,1,1
542,Bird,Parakeet,158,Black,Medium,18.62557472,1,0,26,142,0,1
543,Cat,Persian,121,Gray,Large,3.429938204,1,1,18,233,0,0
544,Dog,Poodle,55,Brown,Large,19.64876881,1,0,48,409,0,0
545,Cat,Persian,144,Brown,Medium,23.1134871,1,0,9,436,1,1
546,Dog,Poodle,12,White,Large,17.96299593,1,1,1,43,1,0
547,Dog,Poodle,145,Brown,Large,8.720713543,1,0,9,31,0,0
548,Rabbit,Rabbit,144,Gray,Medium,1.908937397,1,0,23,230,0,1
549,Rabbit,Rabbit,140,White,Large,4.464017635,0,0,45,27,0,0
550,Bird,Parakeet,136,White,Large,19.04678639,1,0,2,422,0,0
551,Rabbit,Rabbit,3,Black,Large,28.09818629,0,0,14,490,1,0
552,Bird,Parakeet,144,Black,Medium,6.989497715,0,0,38,159,0,0
